,Name,Address 1,Address 2,"City, State Zipcode",License No,Issue Date,Expiration Date,Unnamed: 7,lat,long,accuracy,lng
13,AGH REDISCRIPTS PHARMACY,9733 HEALTHWAY DRIVE,,Berlin MD  21811,P06310,04/11/2014,05/31/2024,,38.33876,,1,-75.211271
14,AHF Pharmacy,11 E Lexington Street,,Baltimore MD  21202,P08109,07/17/2019,05/31/2024,,39.290898,,1,-76.614537
15,Albright Pharmacy  Services,333 Russell Avenue,,Gaithersburg MD  20877,PW0538,01/27/2022,05/31/2024,,39.148798,,1,-77.196983
16,ALCO PHARMACY,11435 Cronhill Drive,Suite A,OWINGS MILLS MD  21117,PW0249,04/28/2004,05/31/2024,,39.438814,,1,-76.772778
17,ALFA SPECIALTY PHARMACY,8940 ROUTE 108,SUITE B,COLUMBIA MD  21045,PW0300,04/18/2007,05/31/2024,,39.228914,,1,-76.821575
18,All Saints Pharmacy,9105 All Saints Road,Suite M,Laurel MD  20723,P08664,10/18/2022,05/31/2024,,39.121696,,1,-76.845874
19,ALLCARE  PHARMACY,6196  OXON  HILL  ROAD,SUITE 130,Oxon Hill MD  20745,P06450,08/14/2014,05/31/2024,,38.803503,,1,-76.982693
20,Allentown DiscountRx,7069 Allentown Road,,Temple Hills MD  20748,P07964,11/16/2018,05/31/2024,,38.794041,,1,-76.926888
21,Alliance Pharmacy Plus,3400 Annapolis Road,,Baltimore MD  21227,P08533,02/01/2022,05/31/2024,,39.248199,,1,-76.641214
22,Alliance Pharmacy Plus Takoma Park,1101 University Blvd E,,Takoma Park MD  20912,P08674,11/17/2022,05/31/2024,,38.989857,,1,-76.990017
23,ALLIED PHARMACEUTICAL,1201 SEVEN LOCKS ROAD,SUITE 203,ROCKVILLE MD  20854,PW0151,09/27/1995,05/31/2024,,39.064026,,1,-77.160073
24,Allied Pharmacy,15200  SHADY GROVE RD,SUITE 101,Rockville MD  20850,P07686,12/13/2017,05/31/2024,,39.104618,,1,-77.191087
25,ALPHA HEALTHCARE LLC,3061 FREDERICK AVE,Suite C,Baltimore MD  21223,P06876,06/17/2015,05/31/2024,,39.27984,,1,-76.668537
26,ALSBIZ GROUP INC PREMIER CARE PHARMACY,3539 DOLFIELD AVENUE,,Baltimore MD  21215,P05925,04/25/2013,05/31/2024,,39.334945,,1,-76.674326
27,Ambulatory Care Pharmacy Inc DBA SMP Mid-Atlantic,9601 Blackwell Road,Suite 230,Rockville MD  20850,P08542,02/11/2022,05/31/2024,,39.101857,,1,-77.192828
28,AME PHARMACY LLC,731 FREDERICK RD,,CATONSVILLE MD  21228,P05550,09/28/2011,05/31/2024,,39.27143,,1,-76.732543
29,Amed Community Pharmacy,218 1A Washington Heights Medical Center,,Westminster MD  21157,P08507,10/28/2021,05/31/2024,,39.564201,,0.5,-76.980701
30,AMEND RX AT NORTHERN PHARMACY AND MEDICAL EQUIPMENT,6701 HARFORD ROAD,Suite B,Baltimore MD  21234,PW0368,11/19/2012,05/31/2024,,39.363403,,1,-76.551353
31,ANCHOR PHARMACY 101,291 STONER AVE,SUITE 206,WESTMINSTER MD  21157,P01473,03/19/1999,05/31/2024,,39.559016,,1,-76.989777
32,ANIKA PHARMACY CORP dba LORVEN PHARMACY,13929 BALTIMORE AVE,# 4,LAUREL MD  20707,P05590,10/07/2011,05/31/2024,,39.082339,,1,-76.862965
33,ANNAPOLIS PROFESSIONAL PHARMACY,703 GIDDINGS AVE,,Annapolis MD  21401,P06680,03/06/2015,05/31/2024,,38.988884,,1,-76.503838
34,ANNE ARUNDEL MEDICAL CENTER,2001 MEDICAL PARKWAY,CLATANOFF PAVILION,ANNAPOLIS MD  21401,P01884,05/22/1995,05/31/2024,,38.990504,,1,-76.534165
35,ANNE ARUNDEL MEDICAL CENTER PHARMACY,2003 MEDICAL PARKWAY,,Annapolis MD  21401,P06674,12/23/2014,05/31/2024,,38.98993,,1,-76.534592
36,ANNE ARUNDEL MEDICAL PARK PHARMACY,2001 MEDICAL PKWY,,ANNAPOLIS MD  21401,PW0002,08/29/2000,05/31/2024,,38.990504,,1,-76.534165
37,APPLE DISCOUNT DRUGS,404A N FRUITLAND BLVD,,SALISBURY MD  21801,P01701,03/24/1992,05/31/2024,,38.330639,,1,-75.61395
38,APPLE DISCOUNT DRUGS #2,1210 Nanticoke Road,Suite #11,Salisbury MD  21801,P04379,01/27/2006,05/31/2024,,38.368487,,0.9,-75.621614
39,APPLE INFUSION,404B N FRUITLAND BLVD,,SALISBURY MD  21801,PW0093,03/08/1993,05/31/2024,,38.330639,,1,-75.61395
40,ARNOLD PROFESSIONAL PHARMACY,1460 RITCHIE HGWY,STE #103,ARNOLD MD  21012,P05097,03/10/2010,05/31/2024,,39.0288,,0.7,-76.504609
41,Arundel Pharmacy,7571 RITCHIE HIGHWAY,,GLEN BURNIE MD  21061,P00021,09/10/2003,05/31/2024,,39.158693,,1,-76.617928
42,Ascension Rx (#1208),900 S. Caton Ave.,,Baltimore MD  21229,P08158,12/03/2019,05/31/2024,,39.271586,,1,-76.673103
43,"Ascension St Agnes, Ascension St Agnes Hospital",900 CATON AVENUE,PHARMACY SRVC BOX 201,BALTIMORE MD  21229,P00735,12/01/1978,05/31/2024,,39.271586,,0.9,-76.673103
44,ASPCares,5500  Knoll North Drive,Suite 140,Columbia MD  21045,P06661,01/07/2015,05/31/2024,,39.224585,,1,-76.840868
45,Atlantic Discount Pharmacy,500 Franklin Ave,Unit 2,Berlin MD  21811,P08417,03/31/2021,05/31/2024,,38.328818,,1,-75.209729
46,ATLANTIC GENERAL HOSPITAL,9733 HEALTHWAY DR,,BERLIN MD  21811,P01751,05/04/1993,05/31/2024,,38.33876,,1,-75.211271
47,"Atlantic General Hospital John H. ""Jack"" Burbage, Jr Regional Cancer Care Center",9707 Healthway Drive,,Berlin MD  21811,P07838,08/31/2018,05/31/2024,,38.337218,,1,-75.209886
48,AUSTIN PHARMACY & MEDICAL SUPPLIES,10757 YORK ROAD,,COCKEYSVILLE MD  21030,P05668,03/30/2012,05/31/2024,,39.481555,,1,-76.642897
49,AVALON PROFESSIONAL PHARMACY LLC,12100 ANAPOLIS ROAD  UNIT #2,,Glenn Dale MD  20769,P05883,01/16/2013,05/31/2024,,38.964413,,1,-76.794274
50,AVNI APOTHECARY,2702 BACK ACRE CIRCLE,Suite 190B,Mount Airy MD  21771,P06847,07/29/2015,05/31/2024,,39.366594,,1,-77.137406
51,Baltimore City Pharmacy Inc,807 East Baltimore Street,Suite 1B,Baltimore MD  21202,P08675,11/17/2022,05/31/2024,,39.289914,,1,-76.604923
52,BALTIMORE HIGHLANDS PHARMACY,4109 ANNAPOLIS ROAD,,BALTIMORE MD  21227,P04785,03/31/2009,05/31/2024,,39.238416,,1,-76.640971
53,BALTIMORE MEDICAL SYSTEMS INC,3120 ERDMAN AVENUE,,BALTIMORE MD  21213,P04992,03/03/2009,05/31/2024,,39.321114,,1,-76.57222
54,BALTIMORE MEDICAL SYSTEMS INC,900 S. CATON AVE,,BALTIMORE MD  21229,P05507,04/14/2011,05/31/2024,,39.271586,,1,-76.673103
55,BALTIMORE MEDICAL SYSTEMS INC,3700 FLEET STREET,SUITE 100,BALTIMORE MD  21224,P04991,03/03/2009,05/31/2024,,39.285932,,1,-76.565862
56,Baltimore Medical Systems Inc. Rosedale Pharmacy,9520 Philadelphia Road,,Rosedale MD  21237,P08652,09/26/2022,05/31/2024,,39.355918,,1,-76.462797
57,BALTIMORE WASHINGTON MEDICAL CENTER,301 Hospital Drive,,Glen Burnie MD  21061,P00467,01/01/1955,05/31/2024,,39.138209,,1,-76.622922
58,BAXTER HEALTHCARE CORPORATION,7611 BRANDON WOODS BLVD,,BALTIMORE MD  21226,PW0353,03/27/2012,05/31/2024,,39.172009,,1,-76.545291
59,BAYVIEW PHARMACY,6510 O DONNELL ST,,BALTIMORE MD  21224,P01845,11/20/2002,05/31/2024,,39.281952,,1,-76.536469
60,BECKMANS GREENE STREET,686 GREENE STREET,,CUMBERLAND MD  21502,P00939,08/15/2002,05/31/2024,,39.651129,,1,-78.780071
61,BEHAVIORAL PHARMACOLOGY RESEARCH UNIT,5510 NATHAN SHOCK DR,JOHNS HOPKINS BAYVIEW,BALTIMORE MD  21224,PW0337,05/03/2010,05/31/2024,,39.291278,,1,-76.55006
62,BEL AIR MEDICINES,1911 BELAIR ROAD,,Fallston MD  21047,P00435,12/01/1976,05/31/2024,,39.497805,,1,-76.387869
63,Bel Pre Number 1 Pharmacy,14446 Layhill Road,,Silver Spring MD  20906,P08094,06/25/2019,05/31/2024,,39.092814,,1,-77.04559
64,BELAIR PHARMACY LLC.,5309 BELAIR RD,,Baltimore MD  21206,P06953,10/09/2015,05/31/2024,,39.337524,,1,-76.552315
65,BELTSVILLE PHARMACY INC,10820 RHODE ISLAND AVE,SUITE F,BELTSVILLE MD  20705,P05400,12/20/2010,05/31/2024,,39.034199,,1,-76.913914
66,BELVEDERE PHARMACY,5845 YORK ROAD,,BALTIMORE MD  21212,P05312,04/19/2010,05/31/2024,,39.363241,,1,-76.609575
67,BELVEDERE PHARMACY LLC,3716 1/2 W BELVEDERE AV,UNIT C,BALTIMORE MD  21215,P04553,06/29/2007,05/31/2024,,39.346121,,1,-76.681222
68,Belvedere Square Pharmacy,524 E Belvedere Ave,Suite A,Baltimore MD  21212,P08137,03/24/2020,05/31/2024,,39.364317,,1,-76.609671
69,BEST PHARMACY,6495 NEW HAMPSHIRE AVE,SUITE B130,Hyattsville MD  20783,P07954,10/11/2018,05/31/2024,,38.967974,,1,-77.00001
70,"BETTER CARE PHARMACY,LLC  D.B.A BETTER CARE PHARMACY",1777 REISTERSTOWN RD,SUITE 102,Pikesville MD  21208,P07905,07/11/2018,05/31/2024,,39.38686,,1,-76.733097
71,BioMatrix Specialty Pharmacy of Maryland LLC,6992 Columbia Gateway Drive,Suite 220,Columbia MD  21046,P07990,02/28/2019,05/31/2024,,39.178238,,1,-76.803059
72,BREATHE4SURE PHARMACY SOLUTIONS LLC,643 N CAREY ST,,BALTIMORE MD  21217,P04832,04/19/2010,05/31/2024,,39.296573,,1,-76.638272
73,BROADNECK PHARMACY,269 PENINSULA FARM RD,,ARNOLD MD  21012,P05349,06/01/2010,05/31/2024,,39.055905,,1,-76.516047
74,BROOKVILLE PHARMACY,5454 WISCONSIN AVE,SUITE 400,CHEVY CHASE MD  20815,P05083,09/14/2009,05/31/2024,,38.962746,,1,-77.087029
75,BROOKVILLE PHARMACY,7025 BROOKVILLE RD,,CHEVY CHASE MD  20815,P00923,10/09/2002,05/31/2024,,38.980887,,1,-77.071212
76,"CalvertHealth Medical Center, Inc.",100 HOSPITAL ROAD,ROUTE 2-4,PR FREDERICK MD  20678,P00056,01/01/1918,05/31/2024,,38.559803,,1,-76.594989
77,Campus Pharmacy,1101 N Calvert St,1st Floor,Baltimore MD  21202,P05311,04/19/2010,05/31/2024,,39.302772,,1,-76.612857
78,CANTNERS DRUG STORE,323 BLOOMINGDALE AVENUE,,Federalsburg MD  21632,P05903,02/11/2013,05/31/2024,,38.697258,,1,-75.786182
79,CAPE DRUGS,1384 Cape St. Claire Road,,Annapolis MD  21409,P07445,03/02/2017,05/31/2024,,39.037349,,1,-76.439454
80,Capital Compounding INC.,4931 Cordell Avenue,Suite 4&5,Bethesda MD  20814,P07607,05/02/2018,05/31/2024,,38.988622,,1,-77.099031
81,Capsule Pharmacy,800 N Wolfe Street,,Baltimore MD  21205,P08614,07/12/2022,05/31/2024,,39.299907,,1,-76.591225
82,Cardinal Health 414 LLC,7051 Muirkirk Meadows Drive,Suite K,BELTSVILLE MD  20705,PW0079,02/25/2003,05/31/2024,,39.06479,,1,-76.885661
83,Care 360 Pharmacy,5704 Ritchie Highway,,Brooklyn MD  21225,P08562,03/16/2022,05/31/2024,,39.218083,,1,-76.615438
84,CARE ONE PHARMACY,2277 REISTERSTOWN RD,,BALTIMORE MD  21217,P04122,11/20/2004,05/31/2024,,39.314751,,1,-76.64772
85,CARE ONE PHARMACY LLC,1835 PENNSYLVANIA AVE,,BALTIMORE MD  21217,P05027,05/19/2009,05/31/2024,,39.305074,,1,-76.63616
86,"CARE ONE SPECIALTY/LTC PHARMACY,LLC",2279-2281 REISTERSTOWN ROAD,,Baltimore MD  21217,PW0373,01/04/2013,05/31/2024,,39.314793,,0.9,-76.647773
87,"Care Rx Pharmacy, Inc.",2300 Garrison Boulevard,Suite 200 A,Baltimore MD  21216,P07708,01/30/2018,05/31/2024,,39.314619,,1,-76.677407
88,CAREMAX  PHARMACY,5411  Old Frederick Road,SUITE  12,Baltimore MD  21229,P07084,02/25/2016,05/31/2024,,39.28785,,1,-76.718802
89,Careplus CVS/Pharmacy #02549,2666 RIVA RD,STE 110,ANNAPOLIS MD  21401,P04732,03/20/2008,05/31/2024,,38.974811,,1,-76.561359
90,"CAREPOINT PHARMACY,LLC",3305 Garrison Blvd,,Baltimore MD  21216,P08326,10/05/2020,05/31/2024,,39.326027,,1,-76.682487
91,CARROLL DRUGS OF MANCHESTER,3128 WESTMINSTER ST,,MANCHESTER MD  21102,P05569,10/06/2011,05/31/2024,,39.661094,,1,-76.885609
92,CARROLL HOSPITAL CENTER PHARMACY,200 MEMORIAL AVE,,WESTMINSTER MD  21157,P00061,01/01/1980,05/31/2024,,39.55837,,1,-76.990262
93,CATONSVILLE PHARMACY,6350 FREDERICK ROAD,Suite B,BALTIMORE MD  21228,P08679,12/02/2022,05/31/2024,,39.276136,,1,-76.717276
94,Cecil Community Pharmacy,49 Rock Springs,Suite 800,Conowingo MD  21918,P07397,10/26/2016,05/31/2024,,39.678517,,1,-76.162256
95,"Cedar Lane Pharmacy, LLC",22650 Cedar Lane Ct.,,Leonardtown MD  20650,P07947,09/26/2018,05/31/2024,,38.289926,,1,-76.624714
96,CENTRAL ADMIXTURE PHARMACY SVS INC,12000 INDIAN CREEK CT,SUITE C,BELTSVILLE MD  20705,PW0184,03/25/1999,05/31/2024,,39.055315,,1,-76.897445
97,CENTRAL AVENUE PHARMACY,1235 EAST MONUMENTST,,BALTIMORE MD  21202,P04004,02/01/2004,05/31/2024,,39.297787,,1,-76.600468
98,Centre Park Pharmacy,8885 Centre Park Drive,SUITE 2C,Columbia MD  21045,P06971,11/20/2015,05/31/2024,,39.229575,,1,-76.813329
99,CGS Pharmacy LLC,202 Perry Parkway,Suire 1,Gaithersburg MD  20877,PW0458,06/05/2014,05/31/2024,,39.142689,,1,-77.210373
100,CHARLESMEAD PHARMACY,6242 BELLONA AVE,,Baltimore MD  21212,P06964,11/05/2015,05/31/2024,,39.371272,,1,-76.618555
101,CHARM CITY PHARMACY INC DBA WELLCARE PHARMACY,2203 N. CHARLES STREET BASEMENT,,Baltimore MD  21218,P06198,11/13/2013,05/31/2024,,39.314418,,1,-76.616492
102,CHASE BREXTON HEALTH CARE,200 HOSPITAL DRIVE,SUITE 300,Glen Burnie MD  21061,P07421,11/15/2016,05/31/2024,,39.138613,,1,-76.620063
103,CHASE BREXTON HEALTH SERVICES PHARMACY,1111 NORTH CHARLES STREET,,BALTIMORE MD  21201,P05144,12/28/2009,05/31/2024,,39.302924,,1,-76.61557
104,CHASE BREXTON PHARMACY,3510 BRENBROOK DRIVE,,RANDALLSTOWN MD  21133,P05145,12/28/2009,05/31/2024,,39.362868,,1,-76.786807
105,CHASE BREXTON PHARMACY COLUMBIA,5500 KNOLL NORTH DRIVE,SUITE 370,COLUMBIA MD  21045,P05715,07/05/2012,05/31/2024,,39.224585,,1,-76.840868
106,CHESTER RIVER HOSPITAL CENTER,100 BROWN STREET,,CHESTERTOWN MD  21620,P00365,08/04/2003,05/31/2024,,39.217566,,1,-76.064836
107,Chester River Pharmacy,601 Washington Avenue,,Chestertown MD  21620,P07557,07/21/2017,05/31/2024,,39.222668,,1,-76.068777
108,Children's National Montgomery County Pharmacy,9850 Key West Ave,Suite 402,Rockville MD  20850,P08450,06/03/2021,05/31/2024,,39.100513,,1,-77.210491
109,Children's National Prince Georges,2900 Campus Way North,,Lanham MD  20706,P08296,07/22/2020,05/31/2024,,38.91954,,1,-76.850034
110,CHOICE PHARMACY,9151 REISTERSTOWN RD,,OWINGS MILLS MD  21117,P04444,06/13/2006,05/31/2024,,39.396999,,1,-76.747931
111,Citicare Pharmacy And Medical Equipment  LLC,3403 Greemount Avenue,,Baltimore MD  21218,P07173,05/20/2016,05/31/2024,,39.328456,,0.5,-76.599139
112,CITIZENS PHARMACY SERVICES,415 A MARKET STREET,,HAVRE DE GRACE MD  21078,P00077,01/30/2002,05/31/2024,,39.544079,,1,-76.087134
113,CITIZENS PHARMACY SERVICES INC,415 A MARKET ST,SUITE B,Havre de Grace MD  21078,PW0473,11/24/2015,05/31/2024,,39.544079,,1,-76.087134
114,City Access Pharmacy,11466 Cherry Hill Road,,Beltsville MD  20705,P08345,11/12/2020,05/31/2024,,39.04474,,1,-76.952946
115,CLAYTONS PHARMACY,404 B WASHINGTON ST,,CAMBRIDGE MD  21613,P05418,12/02/2010,05/31/2024,,38.562703,,1,-76.077613
116,CLEAR SPRING PHARMACY,34 MULBERRY STREET,,Clear Spring MD  21722,P05885,03/01/2013,05/31/2024,,39.655175,,1,-77.930373
117,"CLEVELAND ENTERPRISE II,  LLC.DBA MECMO",5831 ALLENTOWN RD.,#6,Camp Springs MD  20746,P07442,01/11/2017,05/31/2024,,38.808011,,1,-76.900299
118,CLIFTON T PERKINS,8450 DORSEY RUN RD,,JESSUP MD  20794,P00561,01/01/1901,05/31/2024,,39.13974,,1,-76.795336
119,Co- Op Pharmacy,121 CENTERWAY,,GREENBELT MD  20770,P01086,06/06/1984,05/31/2024,,39.001845,,1,-76.875894
120,Coastal Drug,"11307 Manklin Creek Road, Unit 1",,Berlin MD  21811,P06688,02/19/2015,05/31/2024,,38.377521,,0.7,-75.153821
121,COLLEGE PARK PHARMACY,4701 MELBOURNE PLACE,,College Park MD  20740,P07420,11/10/2016,05/31/2024,,38.990321,,1,-76.933082
122,COLORA PHARMACY,2527 JACOB TOME HIGHWAY,,COLORA MD  21917,P05746,09/06/2012,05/31/2024,,39.67205,,0.5,-76.09856
123,COLUMBIA HICKORY PHARMACY,10805 HICKORY RIDGE RD,,COLUMBIA MD  21044,P04190,06/01/2005,05/31/2024,,39.21055,,1,-76.88605
124,Columbia Rx LLC dba Ultra Care Pharmacy - Columbia,10798 Hickory Ridge Road,Suite A,Columbia MD  21044,P07941,09/20/2018,05/31/2024,,39.211734,,1,-76.886192
125,COMFORT PHARMACY,3240 BELAIR RD,,BALTIMORE MD  21213,P05601,12/05/2011,05/31/2024,,39.321401,,1,-76.574263
126,Comfort Pharmacy 11 Inc,3240 Belair Road,2nd Floor,Baltimore MD  21213,PW0541,07/26/2022,05/31/2024,,39.321401,,1,-76.574263
127,COMMUNITY CARE RX,11801 FINGERBOARD RD,SUITE 6,MONROVIA MD  21770,P08052,04/02/2019,05/31/2024,,39.343782,,1,-77.252724
128,"COMMUNITY, A WALGREENS PHARMACY #15308",6 N Howard Street,,Baltimore MD  21201,P06749,05/27/2015,05/31/2024,,39.289428,,1,-76.619632
129,"Community, A Walgreens Pharmacy #21142",1015 Ripley Street,Unit B,Silver Spring MD  20910,P07690,03/29/2018,05/31/2024,,38.992755,,1,-77.027761
130,"Community, A Walgreens Pharmacy #21166",1114 Cathedral Street,Suite #3,Baltimore MD  21201,P07601,01/26/2018,05/31/2024,,39.302037,,1,-76.618264
131,Complete Wellness Pharmacy,5732 Buckeystown Pike,Unit 24,Frederick MD  21704,P08243,04/14/2020,05/31/2024,,39.392993,,1,-77.410239
132,CONNET  PHARMACY  LLC,510  SOUTH  BROADWAY,,Baltimore MD  21231,P06213,01/31/2014,05/31/2024,,39.28513,,1,-76.593947
133,Cornerstone Pharmacy,8713 Harford Road,,Parkville MD  21234,P08502,10/13/2021,05/31/2024,,39.383093,,1,-76.534465
134,Correct Rx Pharmacy Services Inc,1352 Charwood Road,Suite C,Hanover MD  21076,PW0234,05/07/2003,05/31/2024,,39.173665,,1,-76.709185
135,Cosmos Arena Pharmacy and Medical Supplies,1711 Holaview Road,,Baltimore MD  21222,P08393,02/09/2021,05/31/2024,,39.272814,,1,-76.508341
136,Costco Pharmacy # 1326,10270 Mill Run Circle,,Owings Mills MD  21117,P07895,10/03/2018,05/31/2024,,39.404383,,1,-76.789609
137,COSTCO PHARMACY #1039,16006 CRAIN HIGHWAY SE,,BRANDYWINE MD  20613,P04836,11/14/2008,05/31/2024,,38.670376,,1,-76.872524
138,COSTCO PHARMACY #1078,2400 FIVE LEES LANE,,LANHAM MD  20706,P05362,10/07/2010,05/31/2024,,38.923726,,1,-76.851688
139,COSTCO PHARMACY #1124,11160 VIERS MILL ROAD,,Silver Spring MD  20902,P05964,03/21/2013,05/31/2024,,39.036869,,1,-77.054843
140,COSTCO PHARMACY 1000,6675 MARIE CURIE DRIVE,,ELKRIDGE MD  21075,P04649,09/12/2007,05/31/2024,,39.185923,,1,-76.793589
141,COSTCO PHARMACY 213,880 RUSSEL AVE,,GAITHERSBURG MD  20879,P01912,05/16/1997,05/31/2024,,39.156094,,1,-77.214045
142,COSTCO PHARMACY 214,10925 BALTIMORE AVE,,BELTSVILLE MD  20705,P01892,05/16/1997,05/31/2024,,39.032449,,1,-76.907933
143,COSTCO PHARMACY 325,7077 ARUNDEL MILLS CIR,,HANOVER MD  21076,P02638,11/20/2001,05/31/2024,,39.156444,,1,-76.730441
144,COSTCO PHARMACY 330,10 MONOCACY BLVD,,FREDERICK MD  21704,P02650,11/20/2001,05/31/2024,,39.40172,,1,-77.407624
145,COSTCO WHOLESALE PHARMACY 203,575 ORDNANCE RD,,GLEN BURNIE MD  21060,P02239,06/09/1998,05/31/2024,,39.196547,,0.9,-76.600544
146,COSTCO WHOLESALE PHARMACY 208,9919 PULASKI HIGHWAY,,BALTIMORE MD  21220,P02238,06/09/1998,05/31/2024,,39.35893,,1,-76.446821
147,"CPS Solutions, LLC dba Mt. Washington Pediatric Hospital",1708 W. Rogers Avenue,,Baltimore MD  21209,P07535,07/20/2017,05/31/2024,,39.3631,,1,-76.65328
148,Craigs Drug Store Inc,409 Race Street,,Cambridge MD  21613,P00094,01/01/1957,05/31/2024,,38.569682,,1,-76.077495
149,CRISFIELD DISCOUNT PHARMACY,390 West Main Street,,CRISFIELD MD  21817,P04174,05/03/2005,05/31/2024,,37.982182,,1,-75.854283
150,Crossroads Pharmacy,4801 Dorsey Hall Dr,Suite 120,Ellicott City MD  21042,P07097,07/21/2016,05/31/2024,,39.242517,,1,-76.837097
151,Crown's Pharmacy and Clinic,9705 Fort Meade Road,,Laurel MD  20707,P08241,04/03/2020,05/31/2024,,39.095131,,1,-76.837451
152,CVS / PHARMACY #10203,3350  WORTHINGTON  BLVD,,Frederick MD  21704,P06132,10/15/2013,05/31/2024,,39.326479,,1,-77.344637
153,CVS Pharmacy #00169,799 Rockville Pike,,Rockville MD  20852,P05184,04/16/2010,05/31/2024,,39.076526,,1,-77.140587
154,CVS Pharmacy #00244,115 S Piney Road,,Chester MD  21619,P05332,04/16/2010,05/31/2024,,38.973682,,1,-76.269982
155,CVS Pharmacy #00540,400 East Pratt Street,Nations Bank Bldg,Baltimore MD  21202,P05187,04/16/2010,05/31/2024,,39.287036,,1,-76.609325
156,CVS Pharmacy #01177,11190 Viers Mills Road,,Wheaton MD  20902,P05188,04/16/2010,05/31/2024,,39.039135,,1,-77.05452
157,CVS Pharmacy #01330,275 Baltimore Blvd,,Westminster MD  21157,P05295,04/16/2010,05/31/2024,,39.575108,,1,-76.985872
158,CVS Pharmacy #01431,3110 OLNEY SANDY SPRING ROAD,,OLNEY MD  20832,P05189,04/16/2010,05/31/2024,,39.150836,,1,-77.063555
159,CVS Pharmacy #01434,7939 NEW HAMPSHIRE AVE,,LANGLEY PARK MD  20783,P05191,04/16/2010,05/31/2024,,38.989491,,1,-76.986063
160,CVS Pharmacy #01435,1503  POTOMAC AVE,,HAGERSTOWN MD  21742,P05182,04/16/2010,05/31/2024,,39.660881,,1,-77.701913
161,CVS Pharmacy #01437,1460 B WEST PATRICK ST,,FREDERICK MD  21702,P05296,04/16/2010,05/31/2024,,39.421148,,1,-77.46605
162,CVS Pharmacy #01439,10113 New Hampshire Avenue,,Silver Spring MD  20903,P05180,04/16/2010,05/31/2024,,39.02082,,1,-76.975371
163,CVS Pharmacy #01441,1580 Rockville Pike,,Rockville MD  20852,P05333,04/16/2010,05/31/2024,,39.064318,,1,-77.125459
164,CVS Pharmacy #01442,10 East Wilson Boulevard,,Hagerstown MD  21740,P05292,04/16/2010,05/31/2024,,39.624357,,1,-77.727364
165,CVS Pharmacy #01443,7401 Annaplois Road,,Landover Hills MD  20784,P05178,04/16/2010,05/31/2024,,38.947844,,1,-76.887312
166,CVS Pharmacy #01444,7300 Baltimore Avenue,,College Park MD  20740,P05177,04/16/2010,05/31/2024,,38.97998,,1,-76.93837
167,CVS Pharmacy #01446,1001 Twin Arch Road,#18,Mount Airy MD  21771,P05298,04/16/2010,05/31/2024,,39.369551,,1,-77.145233
168,CVS Pharmacy #01448,8201 ANNAPOLIS RD,,NEW CARROLLTON MD  20784,P05282,04/16/2010,05/31/2024,,38.955083,,1,-76.872461
169,CVS Pharmacy #01449,7955 Tuckerman Lane,,Potomac MD  20854,P05289,04/16/2010,05/31/2024,,39.041176,,1,-77.157536
