x1,name,address_1,address_2,city_state_zipcode,license_no,issue_date,expiration_date,unnamed_7,lat,accuracy,lng
64,belair pharmacy llc.,5309 belair rd,NA,baltimore md  21206,p06953,10/09/2015,05/31/2024,NA,39.337524,1,-76.552315
66,belvedere pharmacy,5845 york road,NA,baltimore md  21212,p05312,04/19/2010,05/31/2024,NA,39.363241,1,-76.609575
67,belvedere pharmacy llc,3716 1/2 w belvedere av,unit c,baltimore md  21215,p04553,06/29/2007,05/31/2024,NA,39.346121,1,-76.681222
68,belvedere square pharmacy,524 e belvedere ave,suite a,baltimore md  21212,p08137,03/24/2020,05/31/2024,NA,39.364317,1,-76.609671
72,breathe4sure pharmacy solutions llc,643 n carey st,NA,baltimore md  21217,p04832,04/19/2010,05/31/2024,NA,39.296573,1,-76.638272
77,campus pharmacy,1101 n calvert st,1st floor,baltimore md  21202,p05311,04/19/2010,05/31/2024,NA,39.302772,1,-76.612857
81,capsule pharmacy,800 n wolfe street,NA,baltimore md  21205,p08614,07/12/2022,05/31/2024,NA,39.299907,1,-76.591225
84,care one pharmacy,2277 reisterstown rd,NA,baltimore md  21217,p04122,11/20/2004,05/31/2024,NA,39.314751,1,-76.64772
85,care one pharmacy llc,1835 pennsylvania ave,NA,baltimore md  21217,p05027,05/19/2009,05/31/2024,NA,39.305074,1,-76.63616
86,"care one specialty/ltc pharmacy,llc",2279-2281 reisterstown road,NA,baltimore md  21217,pw0373,01/04/2013,05/31/2024,NA,39.314793,0.9,-76.647773
87,"care rx pharmacy, inc.",2300 garrison boulevard,suite 200 a,baltimore md  21216,p07708,01/30/2018,05/31/2024,NA,39.314619,1,-76.677407
90,"carepoint pharmacy,llc",3305 garrison blvd,NA,baltimore md  21216,p08326,10/05/2020,05/31/2024,NA,39.326027,1,-76.682487
97,central avenue pharmacy,1235 east monumentst,NA,baltimore md  21202,p04004,02/01/2004,05/31/2024,NA,39.297787,1,-76.600468
100,charlesmead pharmacy,6242 bellona ave,NA,baltimore md  21212,p06964,11/05/2015,05/31/2024,NA,39.371272,1,-76.618555
101,charm city pharmacy inc dba wellcare pharmacy,2203 n. charles street basement,NA,baltimore md  21218,p06198,11/13/2013,05/31/2024,NA,39.314418,1,-76.616492
103,chase brexton health services pharmacy,1111 north charles street,NA,baltimore md  21201,p05144,12/28/2009,05/31/2024,NA,39.302924,1,-76.61557
111,citicare pharmacy and medical equipment  llc,3403 greemount avenue,NA,baltimore md  21218,p07173,05/20/2016,05/31/2024,NA,39.328456,0.5,-76.599139
125,comfort pharmacy,3240 belair rd,NA,baltimore md  21213,p05601,12/05/2011,05/31/2024,NA,39.321401,1,-76.574263
126,comfort pharmacy 11 inc,3240 belair road,2nd floor,baltimore md  21213,pw0541,07/26/2022,05/31/2024,NA,39.321401,1,-76.574263
128,"community, a walgreens pharmacy #15308",6 n howard street,NA,baltimore md  21201,p06749,05/27/2015,05/31/2024,NA,39.289428,1,-76.619632
130,"community, a walgreens pharmacy #21166",1114 cathedral street,suite #3,baltimore md  21201,p07601,01/26/2018,05/31/2024,NA,39.302037,1,-76.618264
132,connet  pharmacy  llc,510  south  broadway,NA,baltimore md  21231,p06213,01/31/2014,05/31/2024,NA,39.28513,1,-76.593947
147,"cps solutions, llc dba mt. washington pediatric hospital",1708 w. rogers avenue,NA,baltimore md  21209,p07535,07/20/2017,05/31/2024,NA,39.3631,1,-76.65328
155,cvs pharmacy #00540,400 east pratt street,nations bank bldg,baltimore md  21202,p05187,04/16/2010,05/31/2024,NA,39.287036,1,-76.609325
192,cvs pharmacy #02034,5200 york road,NA,baltimore md  21212,p05244,04/16/2010,05/31/2024,NA,39.352299,1,-76.61035
209,cvs pharmacy #04411,5501 park heights ave,NA,baltimore md  21215,p05481,08/30/2011,05/31/2024,NA,39.352147,1,-76.683294
212,cvs pharmacy #04438,6635-37 belair road,NA,baltimore md  21206,p05486,08/30/2011,05/31/2024,NA,39.354518,0.9,-76.530299
215,cvs pharmacy #05381,1000 s charles st,NA,baltimore md  21230,p05459,05/06/2011,05/31/2024,NA,39.277644,1,-76.614735
218,cvs pharmacy #10565,3200 st. paul st,NA,baltimore md  21218,p07183,08/19/2016,05/31/2024,NA,39.32754,1,-76.616492
220,cvs pharmacy #10751,934 north charles street,NA,baltimore md  21201,p07163,09/07/2016,05/31/2024,NA,39.300823,1,-76.616284
258,cvs pharmacy #2066,4625 falls road,NA,baltimore md  21209,p05247,04/16/2010,05/31/2024,NA,39.345449,1,-76.639921
261,cvs pharmacy #2334,2504 n charles st,NA,baltimore md  21218,p05269,04/16/2010,05/31/2024,NA,39.318176,1,-76.617338
314,cvs pharmacy 2522,3300 belair road,NA,baltimore md  21213,p05254,04/16/2010,05/31/2024,NA,39.322106,1,-76.573846
319,cvs pharmacy 7952,630 exeter street,NA,baltimore md  21202,p04762,06/11/2008,05/31/2024,NA,39.296002,0.9,-76.608134
321,cvs/pharmacy # 10123,101 north wolfe st,NA,baltimore md  21231,p06663,12/17/2014,05/31/2024,NA,39.292903,1,-76.589884
333,cvs/pharmacy #03974,5407-17 harford road,NA,baltimore md  21214,p05460,03/24/2011,05/31/2024,NA,39.351117,0.9,-76.561793
334,cvs/pharmacy #03976,2509-2523 pennsylvania ave,NA,baltimore md  21217,p05485,03/24/2011,05/31/2024,NA,39.310599,0.9,-76.642602
339,cvs/pharmacy #05764,2560 w franklin st,NA,baltimore md  21223,p05484,03/24/2011,05/31/2024,NA,39.293654,1,-76.658855
375,eager park pharmacy and health services llc dba walgreens #15284,900 n. washington street,suite 1,baltimore md  21205,p06161,11/01/2013,05/31/2024,NA,39.300745,1,-76.590784
377,eastern avenue pharmacy and medical equipment llc,5901 eastern ave,suite d,baltimore md  21224,p06257,02/12/2014,05/31/2024,NA,39.287142,1,-76.545359
386,erdman avenue pharmacy,3109 erdman ave,NA,baltimore md  21213,p07983,02/15/2019,05/31/2024,NA,39.321118,1,-76.573293
388,eva pharmacy,2101 garrison blvd,NA,baltimore md  21216,p08563,03/17/2022,05/31/2024,NA,39.311262,1,-76.674722
391,extracare pharmacy,883 n howard st,NA,baltimore md  21201,p04023,03/01/2004,05/31/2024,NA,39.30053,1,-76.619836
400,fhcb health system,3540 s hanover street,NA,brooklyn md  21225,p08333,10/15/2020,05/31/2024,NA,39.239397,1,-76.609661
402,firstcall pharmacy llc dba howard pharmacy,405 n. paca street,2 nd floor,baltimore md  21201,pw0488,09/30/2015,05/31/2024,NA,39.294154,1,-76.622194
406,franklin care pharmacy,520 north franklintown road,NA,baltimore md  21223,p06887,06/26/2015,05/31/2024,NA,39.29381,1,-76.663147
472,giant pharmacy 145,5150 sinclair lane,NA,baltimore md  21206,p00281,12/23/1954,05/31/2024,NA,39.322796,1,-76.544849
490,giant pharmacy 303,601 east 33rd street,NA,baltimore md  21218,p04050,06/16/2004,05/31/2024,NA,39.327738,1,-76.607572
495,giant pharmacy 317,4624 edmondson avenue,NA,baltimore md  21229,p02279,10/08/1998,05/31/2024,NA,39.293943,1,-76.695728
508,giant pharmacy 337,6620 reisterstown rd,NA,baltimore md  21215,p04079,07/29/2004,05/31/2024,NA,39.357327,1,-76.704141
521,glory pharmacy,3404 eastern avenue,NA,baltimore md  21224,p07638,11/16/2017,05/31/2024,NA,39.28678,1,-76.568738
522,govans professional pharmacy,5109 york road,NA,baltimore md  21212,p01226,09/05/1985,05/31/2024,NA,39.351304,1,-76.609396
523,grace medical center  inc.,2000 w baltimore st,NA,baltimore md  21223,p08236,03/10/2020,05/31/2024,NA,39.288332,1,-76.64912
532,gwynn oak pharmacy,4909 liberty heights avenue,NA,gwynn oak md  21207,p07413,10/20/2016,05/31/2024,NA,39.33227,1,-76.699535
533,habnael inc dba greektown pharmacy & mini mart,4501 eastern ave,1st floor,baltimore md  21224,p08306,08/19/2020,05/31/2024,NA,39.286789,1,-76.557909
540,harris  teeter #392,3779  boston  street,NA,baltimore md  21224,p06399,05/28/2014,05/31/2024,NA,39.27706,1,-76.562318
550,harris teeter pharmacy #376,1801 whetstone way,NA,baltimore md  21230,p06379,05/28/2014,05/31/2024,NA,39.269676,0.8,-76.599444
557,harrison healthcare inc,2328 north charles st,NA,baltimore md  21218,pw0268,12/22/2005,05/31/2024,NA,39.316122,1,-76.617124
562,healthgates pharmacy & medical supply,9 s. highland  ave,NA,baltimore md  21224,p06109,10/22/2013,05/31/2024,NA,39.29245,1,-76.569261
568,highlandtown  pharmacy  inc,3911  eastern  ave,NA,baltimore md  21224,p06471,09/25/2014,05/31/2024,NA,39.286587,1,-76.564458
585,john hopkins hospital ambulatory and care transitions pharmacy division,601 n caroline street,outpatient center room 1231,baltimore md  21287,p06336,05/29/2014,05/31/2024,NA,39.297209,0.9,-76.597385
586,john hopkins hospital critical care and surgery pharmacy division,1800  orleans  st  zayer  3121,NA,baltimore md  21287,p06339,05/29/2014,05/31/2024,NA,39.295435,1,-76.591726
587,john hopkins hospital pediatric pharmacy division,1800  orleans  st  bloomberg,NA,baltimore md  21287,p06338,05/29/2014,05/31/2024,NA,39.295435,1,-76.591726
588,john hopkins investigational drug services,600 n. wolfe  st    osler  100,NA,baltimore md  21287,pw0453,05/29/2014,05/31/2024,NA,39.296883,0.9,-76.592417
590,johns  hopkins hospital  weinberg pharmacy divisions,1800 orleans st,carnegie 180,baltimore md  21287,p06335,05/29/2014,05/31/2024,NA,39.295435,1,-76.591726
591,johns hopkins bayview med center,4940 eastern ave,NA,baltimore md  21224,p01092,07/03/1984,05/31/2024,NA,39.287271,1,-76.554702
592,johns hopkins bayview medical center,4940 eastern avenue,"bmo bldg, rm 01-0154",baltimore md  21224,p02057,10/22/2002,05/31/2024,NA,39.287271,1,-76.554702
593,johns hopkins central pharmacy division,600 n wolfe st,carneigie 180,baltimore md  21287,p00352,08/24/1967,05/31/2024,NA,39.296883,0.9,-76.592417
594,johns hopkins hospital adult inpatient pharmacy division,1800  orleans st  zayed  7000,NA,baltimore md  21287,p06337,05/29/2014,05/31/2024,NA,39.295435,1,-76.591726
595,johns hopkins hospital discharge pharmacy,600 n. wolfe street,"carnegie bldg, 2nd floor",baltimore md  21287,p07682,12/20/2017,05/31/2024,NA,39.296883,0.9,-76.592417
596,johns hopkins hospital viragh pharmacy,201 north broadway,suite 6009,baltimore md  21287,p07859,05/02/2018,05/31/2024,NA,39.294619,0.9,-76.592291
598,johns hopkins outpatient pharm at jhoc,601 n. caroline street,suite 1006,baltimore md  21287,p01688,10/23/2002,05/31/2024,NA,39.297209,0.9,-76.597385
599,johns hopkins outpatient pharmacy at bartlett practice,1717 e. monument street,"park building, room g-105",baltimore md  21287,p03167,10/03/2003,05/31/2024,NA,39.298228,1,-76.59428
600,johns hopkins outpatient pharmacy at bayview annex,4940 eastern ave,NA,baltimore md  21224,p07381,10/12/2016,05/31/2024,NA,39.287271,1,-76.554702
601,johns hopkins outpatient pharmacy at weinberg,401 n. broadway,suite 1001,baltimore md  21287,p02433,10/22/2002,05/31/2024,NA,39.29504,0.9,-76.594209
602,johns hopkins pharmaquip inc,5901 holabird avenue,suite a,baltimore md  21224,pw0013,12/02/1992,05/31/2024,NA,39.271931,1,-76.544713
610,kaiser permanente baltimore harbor pharmacy,815 east pratt street,NA,baltimore md  21202,p05128,12/29/2009,05/31/2024,NA,39.286911,1,-76.603383
637,keystone pharmacy,1358 w  north ave,NA,baltimore md  21217,p08543,02/11/2022,05/31/2024,NA,39.310846,1,-76.639791
654,laxmi durga rx llc dba edmondson pharmacy,4506 edmondson avenue,NA,baltimore md  21229,p05814,10/18/2012,05/31/2024,NA,39.293674,1,-76.691662
655,levindale hebrew geriatric center and hospital inpatient pharmacy,2434 west belvedere ave,NA,baltimore md  21215,pw0471,02/04/2015,05/31/2024,NA,39.354539,1,-76.665423
657,liberty pharmacy llc,108 n. eutaw street,suite 108,baltimore md  21201,p07520,04/06/2017,05/31/2024,NA,39.290725,1,-76.621288
658,life care pharmacy llc,5429  reisterstown rd,suite b,baltimore md  21215,p06878,06/02/2015,05/31/2024,NA,39.346982,1,-76.688932
660,lifebridge pharmacy at sinai,2401 belvedere ave,NA,baltimore md  21215,p05585,10/07/2011,05/31/2024,NA,39.352624,0.9,-76.661965
661,lifeline baltimore pharmacy,6821 reisterstown road,suite 207,baltimore md  21215,p07438,11/28/2016,05/31/2024,NA,39.359828,1,-76.707344
698,maryland cvs pharmacy llc dba cvs pharmacy #17663,3559 boston street,NA,baltimore md  21224,p07031,12/17/2015,05/31/2024,NA,39.276908,1,-76.567064
705,md general hospital pharmacy,827 linden ave,NA,baltimore md  21201,p01177,01/24/1985,05/31/2024,NA,39.299444,1,-76.620433
724,medstar franklin square oncology center at loch raven campus,5601 loch raven blvd- rmb,suite 103,baltimore md  21239,pw0505,04/18/2017,05/31/2024,NA,39.357742,1,-76.586841
726,medstar good samaritan hospital,5601 loch raven blvd,NA,baltimore md  21239,p00295,01/22/1920,05/31/2024,NA,39.357742,1,-76.586841
727,medstar harbor hospital in patient rx,3001 s hanover st,NA,baltimore md  21225,p00758,01/01/1904,05/31/2024,NA,39.251885,1,-76.613987
729,medstar pharmacy at ravens stadium,1101 russell st,NA,baltimore md  21201,pw0486,09/18/2015,05/31/2024,NA,39.277778,0.95,-76.622665
731,medstar pharmacy store #3,5601 loch raven blvd,NA,baltimore md  21239,p02035,12/30/1996,05/31/2024,NA,39.357742,1,-76.586841
732,medstar pharmacy store #4,201 e university pkwy,NA,baltimore md  21218,p02070,07/14/1997,05/31/2024,NA,39.329296,1,-76.614321
733,medstar pharmacy store #6,3001 s hanover street,NA,baltimore md  21225,p04034,06/28/2004,05/31/2024,NA,39.251885,1,-76.613987
737,medstar union memorial hospital,201 e university pkwy,NA,baltimore md  21218,p00797,01/01/1954,05/31/2024,NA,39.329296,1,-76.614321
742,mercy medical center pharmacy,301 st  paul place,director of pharmacy,baltimore md  21202,p00452,01/01/1977,05/31/2024,NA,39.292991,1,-76.613076
746,midas rx pharmacy llc,700 washington boulevard,NA,baltimore md  21230,p06900,07/10/2015,05/31/2024,NA,39.283515,1,-76.627069
751,mimikay pharmacy,1027 w 36 th st,suite a,baltimore md  21211,p06871,07/07/2015,05/31/2024,NA,39.330951,1,-76.632905
752,monument pharmacy inc,2760 lighthouse point,suite 110,baltimore md  21224,pw0190,08/24/2001,05/31/2024,NA,39.278292,0.95,-76.579117
753,morrell park pharmacy,2519 washington blvd,NA,baltimore md  21230,p07972,01/18/2019,05/31/2024,NA,39.266342,1,-76.652453
757,mt vernon pharmacy,900 cathedral st,NA,baltimore md  21201,p02306,04/20/1999,05/31/2024,NA,39.300022,1,-76.617638
758,mt vernon pharmacy at fallsway,421 fallsway,NA,baltimore md  21202,p05345,09/13/2010,05/31/2024,NA,39.293797,1,-76.609358
772,nai saturn eastern llc safeway pharmacy #1481,2610 boston street,NA,baltimore md  21224,p06603,01/31/2015,05/31/2024,NA,39.280974,1,-76.579214
773,nai saturn eastern llc safeway pharmacy #1482,2401 north charles street,NA,baltimore md  21218,p06604,01/31/2015,05/31/2024,NA,39.316589,1,-76.616471
774,nai saturn eastern llc safeway pharmacy #1513,4401 harford road,NA,baltimore md  21214,p06605,01/31/2015,05/31/2024,NA,39.339592,1,-76.571568
786,nia research pharmacy,3001 s hanover street,room sm-527,baltimore md  21225,pw0231,03/26/2003,05/31/2024,NA,39.251885,1,-76.613987
788,"north east drugs,llc",1119 light street,NA,baltimore md  21230,p07201,08/05/2016,05/31/2024,NA,39.276574,1,-76.612037
790,"northern pharmacy and medical equipment, inc",6701 harford road,NA,baltimore md  21234,p01182,04/01/1985,05/31/2024,NA,39.363403,1,-76.551353
797,nuworld pharmacy llc,1800 n. charles street,NA,baltimore md  21201,p07118,04/21/2016,05/31/2024,NA,39.309958,1,-76.616877
805,orchard pharmacy,3350 wilkens avenue,suite 200,baltimore md  21229,p04767,07/24/2008,05/31/2024,NA,39.273838,1,-76.673039
813,park ave pharmacy,1535 park ave,NA,baltimore md  21217,p06708,01/23/2015,05/31/2024,NA,39.308577,1,-76.62558
814,park lane pharmacy,4259 park heights ave,NA,baltimore md  21215,p03053,08/07/2002,05/31/2024,NA,39.338358,1,-76.665086
816,park west medical ctr inc,3319 w belvedere ave,NA,baltimore md  21215,p01059,10/08/2002,05/31/2024,NA,39.348076,1,-76.677012
822,peoples care pharmacy,2405 e. monument  street,NA,baltimore md  21205,p06393,07/08/2014,05/31/2024,NA,39.298614,1,-76.583442
823,peoples care pharmacy,401 e. patapsco  ave,NA,brooklyn md  21225,p06394,06/30/2014,05/31/2024,NA,39.236986,1,-76.605377
832,"pharmaron cpc, inc.",800 west baltimore st,5th floor,baltimore md  21201,pw0504,03/10/2017,05/31/2024,NA,39.289128,1,-76.629134
842,premier care pharmacy,602 cherry hill road,NA,baltimore md  21225,p08476,08/05/2021,05/31/2024,NA,39.250531,1,-76.6221
846,prohealth pharmacy,4532 erdman ave,NA,baltimore md  21213,p05421,01/24/2011,05/31/2024,NA,39.310932,0.9,-76.565287
848,quadrant systems llc dba eutaw pharmacy,622 n eutaw street,unit a,baltimore md  21201,p07967,11/13/2018,05/31/2024,NA,39.296393,1,-76.621648
849,quality care pharmacy,1403 e coldspring ln,ste b,baltimore md  21239,p05148,02/24/2010,05/31/2024,NA,39.356356,0.5,-76.587588
855,refua pharmacy and medical supply inc,6404 reisterstown rd,NA,baltmore md  21215,p05671,03/29/2012,05/31/2024,NA,39.355396,1,-76.701515
860,rightcare pharmacy,5438 york road,suite 102,baltimore md  21212,p08437,05/06/2021,05/31/2024,NA,39.355897,1,-76.610109
867,rite aid #00349,4380 park heights ave,NA,baltimore md  21215,p01007,06/24/1983,05/31/2024,NA,39.339162,1,-76.665987
868,rite aid #00362,4600 w northern pkwy,NA,baltimore md  21215,p00680,05/12/1997,05/31/2024,NA,39.346537,1,-76.700408
875,rite aid #01324,3425 clifton ave,NA,baltimore md  21216,p01002,03/04/1983,05/31/2024,NA,39.310769,1,-76.675104
878,rite aid #02204,2801 foster ave,NA,baltimore md  21224,p01332,02/20/1987,05/31/2024,NA,39.283696,1,-76.576677
890,rite aid #04250,1000 east eager street,room 1005,baltimore md  21202,p01921,10/24/1995,05/31/2024,NA,39.302199,1,-76.602786
897,rite aid discount pharmacy 4295,250 w chase street,NA,baltimore md  21202,p02043,01/13/1997,05/31/2024,NA,39.301789,1,-76.619625
900,rite aid pharmacy 11213,6300 york road,NA,baltimore md  21212,p04605,08/28/2007,05/31/2024,NA,39.371073,1,-76.610604
955,saint agnes hospital cancer institute,3407 wilkens avenue,NA,baltimore md  21229,p05930,02/22/2013,05/31/2024,NA,39.269577,1,-76.671562
968,santa monica health systems inc,4300 belair road,suite e,baltimore md  21206,p07422,12/28/2016,05/31/2024,NA,39.328709,1,-76.56543
975,shop rite of liberty heights pharmacy #568,4601 liberty heights avenue,NA,baltimore md  21207,p06415,06/27/2014,05/31/2024,NA,39.330775,1,-76.694815
978,sinai hospital,2401 w belvedere ave,department of pharmacy,baltimore md  21215,p00755,12/01/1978,05/31/2024,NA,39.352624,1,-76.661965
981,sl pharmacy inc dba midtown discount pharmacy,2014  maryland  ave,NA,baltimore md  21218,p06668,01/06/2015,05/31/2024,NA,39.312126,1,-76.618147
985,south baltimore pharmacy cherry hill,631 cherry hill rd,NA,baltimore md  21225,p01783,10/18/1993,05/31/2024,NA,39.249548,1,-76.622652
996,sunrise pharmacy,1900 e northern pkwy,suite 100,baltimore md  21239,p04305,06/24/2005,05/31/2024,NA,39.367338,1,-76.581144
1003,the johns hopkins hospital,1800 orleans street,"zayed-bloomberg bldg, m2125",baltimore md  21287,p05602,12/09/2011,05/31/2024,NA,39.295435,1,-76.591726
1004,the johns hopkins hospital,1810 e. monument street,NA,baltimore md  21205,p04439,09/05/2006,05/31/2024,NA,39.298644,1,-76.592029
1005,the johns hopkins hospital dba johns hopkins central fill pharmacy,5300-c holabird ave,NA,baltimore md  21224,p08116,07/26/2019,05/31/2024,NA,39.274191,1,-76.549579
1006,the johns hopkins hospital dba johns hopkins outpatient pharmacy at holabird,5901  holabird ave,suite a- 2,baltimore md  21224,p06974,01/14/2016,05/31/2024,NA,39.271931,1,-76.544713
1010,the pharmacia at mt washington mill,1340 smith ave,NA,baltimore md  21209,p06043,10/31/2013,05/31/2024,NA,39.367767,1,-76.650056
1021,total health care pharmacy,1501 w. saratoga st,NA,baltimore md  21223,p04997,03/26/2010,05/31/2024,NA,39.291838,1,-76.641725
1022,total health care pharmacy,2400 kirk avenue,NA,baltimore md  21218,p04999,04/29/2009,05/31/2024,NA,39.317613,1,-76.603084
1023,total health care pharmacy,2401 liberty heights ave,suites 111 - 113,baltimore md  21215,p05000,04/29/2009,05/31/2024,NA,39.317083,1,-76.654697
1024,total health care pharmacy,1111 washington blvd,NA,baltimore md  21230,p05812,10/19/2012,05/31/2024,NA,39.282494,1,-76.632703
1025,total health care rx larry young division,1501 division street,NA,baltimore md  21217,p04996,07/09/2009,05/31/2024,NA,39.303386,1,-76.631651
1027,trinity care pharmacy llc,2222 harford rd,NA,baltimore md  21218,p05308,04/12/2010,05/31/2024,NA,39.315683,1,-76.596925
1028,trucare pharmacy and medical equipment,2124 east monument st,NA,baltimore md  21205,p06967,12/08/2015,05/31/2024,NA,39.298875,1,-76.58687
1029,"tuerk house, inc.",730 n. ashburton street,NA,baltimore md  21216,p08693,01/05/2023,05/31/2024,NA,39.296848,1,-76.662381
1032,ultra care pharmacy baltimore,4419 falls rd.,suite b,baltimore md  21211,p08110,11/27/2019,05/31/2024,NA,39.342693,1,-76.639689
1033,ummc mid town campus pharmacy,821 north eutaw street,NA,baltimore md  21201,p07199,06/24/2016,05/31/2024,NA,39.299543,1,-76.621186
1042,university of maryland medical center pharmacy at redwood,11 s paca st,NA,baltimore md  21201,p01944,02/07/1996,05/31/2024,NA,39.287513,0.9,-76.622403
1048,university of md,22 s greene st,outpatient rx  weinberg bldg,baltimore md  21201,p01661,10/20/1992,05/31/2024,NA,39.288165,1,-76.624685
1049,university of md department of pharmacy services,22 s greene street,NA,baltimore md  21201,p00800,12/01/1978,05/31/2024,NA,39.288165,1,-76.624685
1057,victree llc dba penn avenue pharmacy & medical equipment,1525 pennsylvania ave,NA,baltimore md  21217,p08475,08/04/2021,05/31/2024,NA,39.302548,1,-76.633013
1060,voshell's pharmacy,3455 wilkens avenue,NA,baltimore md  21229,p08691,12/29/2022,05/31/2024,NA,39.272287,1,-76.67558
1063,walgreen  co dba walgreens #05410,19 e fayette street,NA,baltimore md  21202,p06717,06/25/2015,05/31/2024,NA,39.290169,1,-76.61418
1064,walgreen  co dba: walgreens # 05408,1300 east north ave,NA,baltimore md  21213,p06742,06/04/2015,05/31/2024,NA,39.312479,1,-76.599916
1066,walgreen  co dba: walgreens #05638,4025  w northern pkwy,NA,baltimore md  21215,p06775,06/10/2015,05/31/2024,NA,39.348602,1,-76.69083
1121,walgreen  co dba: walgreens #16188,2000 w baltimore street,NA,baltimore md  21223,p06733,05/14/2015,05/31/2024,NA,39.288332,1,-76.64912
1122,walgreen  co dba: walgreens #16191,2411 w. belvedere ave suite 101,NA,baltimore md  21215,p06768,05/08/2015,05/31/2024,NA,39.35313,1,-76.665068
1126,walgreen  co dba: walgreens #5409,4020  eastern  ave,NA,baltimore md  21224,p06739,01/15/2016,05/31/2024,NA,39.287307,1,-76.562923
1138,walgreen co dba walgreens#16190,301 saint paul st,NA,baltimore md  21202,p06769,06/03/2015,05/31/2024,NA,39.292991,1,-76.613076
1139,walgreen co dba:walgreens #05623,3801 liberty heights ave,NA,baltimore md  21215,p06693,06/10/2015,05/31/2024,NA,39.326883,1,-76.681849
1140,"walgreen co, dba walgreens #18308",2700 remington avenue,suite 500,baltimore md  21211,p07828,03/08/2018,05/31/2024,NA,39.320445,1,-76.621114
1148,walgreen co. dba walgreens  #19401,711 west 40  street,NA,baltimore md  21211,p07791,03/08/2018,05/31/2024,NA,39.335719,1,-76.630499
1150,walgreen co. dba walgreens #17205,1030 w 41st street,suite e,baltimore md  21211,p07805,03/08/2018,05/31/2024,NA,39.337684,1,-76.634602
1152,walgreen co. dba walgreens #17609,300 martin luther king jr. blvd.,NA,baltimore md  21201,p07784,03/08/2018,05/31/2024,NA,39.293107,0.9,-76.628427
1154,walgreen co. dba walgreens #18337,3700 falls road,NA,baltimore md  21211,p07799,03/08/2018,05/31/2024,NA,39.332692,1,-76.635848
1159,walgreens  co dba walgreens #07573,6301  york road,NA,baltimore md  21212,p06794,07/01/2015,05/31/2024,NA,39.371402,1,-76.609257
1167,walgreens #17522,238 mcmechen street,NA,baltimore md  21217,p07785,03/08/2018,05/31/2024,NA,39.307794,1,-76.627099
1176,walgreens #17889,3935 erdman ave,#37,baltimore md  21213,p07796,03/08/2018,05/31/2024,NA,39.314796,1,-76.568698
1185,walgreens #18155,4214 frankford ave,NA,baltimore md  21206,p07806,03/08/2018,05/31/2024,NA,39.338104,1,-76.551494
1206,walgreens #19577,903 e. fort avenue,NA,baltimore md  21230,p07795,03/08/2018,05/31/2024,NA,39.271487,1,-76.601343
1211,walgreens #21331,2001 w patapsco ave,NA,baltimore md  21230,p06697,06/19/2015,05/31/2024,NA,39.250265,1,-76.643437
1213,walker pharmacy incorporated,2906 edmondson avenue,1st floor,baltimore md  21223,p07936,09/05/2018,05/31/2024,NA,39.294668,1,-76.665235
1262,waverly professional pharmacy,453 e 28th st,NA,baltimore md  21218,p02225,04/24/1998,05/31/2024,NA,39.32194,1,-76.609602
